250.180, 129.287, 8.341, 10.979 False
249.902, 129.282, 8.341, 11.012 False
249.624, 129.277, 8.340, 11.045 False
249.346, 129.273, 8.340, 11.078 False
249.068, 129.268, 8.340, 11.111 False
248.790, 129.263, 8.340, 11.144 False
248.512, 129.259, 8.340, 11.177 False
248.234, 129.255, 8.340, 11.210 False
247.956, 129.251, 8.339, 11.243 False
247.678, 129.248, 8.339, 11.276 False
247.400, 129.244, 8.339, 11.309 False
247.122, 129.241, 8.339, 11.342 False
246.844, 129.238, 8.339, 11.375 False
246.566, 129.235, 8.339, 11.408 False
246.288, 129.233, 8.338, 11.441 False
246.010, 129.230, 8.338, 11.474 False
245.733, 129.228, 8.338, 11.507 False
245.455, 129.225, 8.338, 11.540 False
245.177, 129.224, 8.338, 11.573 False
244.899, 129.223, 8.338, 11.606 False
244.621, 129.221, 8.338, 11.639 False
244.343, 129.220, 8.338, 11.672 False
244.065, 129.219, 8.338, 11.705 False
243.787, 129.218, 8.337, 11.738 False
243.509, 129.217, 8.337, 11.771 False
243.231, 129.216, 8.337, 11.804 False
242.953, 129.216, 8.337, 11.837 False
242.675, 129.216, 8.337, 11.870 False
242.398, 129.216, 8.337, 11.903 False
242.120, 129.216, 8.337, 11.936 False
241.842, 129.216, 8.337, 11.969 False
241.564, 129.216, 8.337, 12.002 False
241.286, 129.216, 8.337, 12.035 False
241.008, 129.217, 8.336, 12.068 False
240.730, 129.217, 8.336, 12.101 False
240.452, 129.218, 8.336, 12.134 False
240.174, 129.219, 8.336, 12.167 False
239.896, 129.220, 8.336, 12.200 False
239.619, 129.221, 8.336, 12.233 False
239.341, 129.222, 8.336, 12.266 False
239.063, 129.223, 8.336, 12.299 False
238.785, 129.224, 8.336, 12.332 False
238.507, 129.225, 8.336, 12.365 False
238.229, 129.227, 8.336, 12.398 False
237.952, 129.228, 8.336, 12.431 False
237.674, 129.230, 8.336, 12.464 False
237.396, 129.232, 8.335, 12.497 False
237.118, 129.233, 8.335, 12.530 False
236.840, 129.235, 8.335, 12.563 False
236.562, 129.237, 8.335, 12.596 False
236.284, 129.239, 8.335, 12.629 False
236.007, 129.241, 8.335, 12.662 False
235.729, 129.243, 8.335, 12.695 False
235.451, 129.245, 8.335, 12.728 False
235.173, 129.248, 8.335, 12.761 False
234.895, 129.250, 8.335, 12.794 False
234.617, 129.252, 8.335, 12.827 False
234.340, 129.255, 8.335, 12.860 False
234.062, 129.257, 8.335, 12.893 False
233.784, 129.260, 8.335, 12.926 False
233.506, 129.263, 8.335, 12.959 False
